iter	Passed	Remaining
413	2856	4043
414	2862	4035
415	2869	4028
416	2875	4020
417	2881	4011
418	2888	4005
419	2894	3997
420	2900	3989
421	2907	3981
422	2913	3973
423	2919	3966
424	2926	3959
425	2933	3952
426	2939	3944
427	2945	3936
428	2951	3928
429	2958	3921
430	2964	3913
431	2970	3905
432	2976	3897
433	2982	3889
434	2988	3881
435	2995	3875
436	3001	3867
437	3008	3859
438	3014	3852
439	3020	3844
440	3027	3837
441	3034	3830
442	3040	3822
443	3046	3815
444	3052	3807
445	3058	3799
446	3064	3791
447	3070	3783
448	3076	3775
449	3082	3767
450	3088	3760
451	3095	3752
452	3101	3744
453	3106	3736
454	3113	3728
455	3119	3721
456	3125	3714
457	3132	3706
458	3139	3699
459	3144	3691
460	3150	3683
461	3156	3675
462	3162	3668
463	3168	3660
464	3174	3652
465	3181	3645
466	3188	3638
467	3194	3630
468	3200	3623
469	3206	3616
470	3213	3608
471	3219	3601
472	3224	3592
473	3231	3586
474	3238	3578
475	3243	3571
476	3250	3563
477	3256	3556
478	3262	3548
479	3268	3541
480	3274	3533
481	3280	3526
482	3287	3518
483	3293	3510
484	3299	3503
485	3304	3495
486	3311	3488
487	3317	3480
488	3323	3472
489	3329	3465
490	3335	3458
491	3342	3450
492	3348	3443
493	3354	3436
494	3361	3428
495	3367	3421
496	3373	3413
497	3379	3406
498	3385	3399
499	3391	3391
500	3398	3385
501	3405	3377
502	3411	3370
503	3417	3363
504	3423	3355
505	3429	3348
506	3435	3340
507	3441	3333
508	3447	3325
509	3453	3318
510	3459	3310
511	3466	3303
512	3471	3295
513	3478	3288
514	3484	3281
515	3490	3274
516	3496	3266
517	3503	3259
518	3508	3251
519	3515	3244
520	3520	3236
521	3527	3229
522	3533	3222
523	3539	3214
524	3545	3207
525	3551	3200
526	3558	3193
527	3564	3186
528	3570	3178
529	3576	3171
530	3582	3164
531	3588	3156
532	3594	3149
533	3600	3142
534	3606	3134
535	3613	3128
536	3620	3121
537	3626	3114
538	3633	3107
539	3639	3100
540	3646	3093
541	3653	3087
542	3659	3079
543	3665	3072
544	3672	3065
545	3677	3058
546	3684	3051
547	3690	3044
548	3696	3036
549	3703	3029
550	3709	3022
551	3715	3015
552	3721	3008
553	3727	3000
554	3733	2993
555	3739	2986
556	3745	2979
557	3752	2972
558	3758	2965
559	3765	2958
560	3771	2951
561	3777	2943
562	3783	2936
563	3789	2929
564	3796	2922
565	3802	2915
566	3808	2908
567	3814	2900
568	3820	2894
569	3827	2887
570	3833	2880
571	3839	2873
572	3845	2865
573	3851	2858
574	3858	2851
575	3864	2844
576	3870	2837
577	3876	2830
578	3882	2823
579	3889	2816
580	3895	2809
581	3901	2801
582	3907	2794
583	3914	2788
584	3920	2781
585	3926	2773
586	3932	2766
587	3938	2759
588	3944	2752
589	3950	2744
590	3956	2737
591	3962	2730
592	3968	2723
593	3974	2716
594	3980	2709
595	3986	2702
596	3992	2695
597	3998	2687
598	4004	2680
599	4009	2673
600	4016	2666
601	4022	2659
602	4028	2652
603	4034	2645
604	4041	2638
605	4046	2631
606	4052	2623
607	4058	2616
608	4065	2609
609	4071	2603
610	4077	2595
611	4083	2588
612	4089	2581
613	4095	2574
614	4101	2567
615	4107	2560
616	4113	2553
617	4119	2546
618	4125	2539
619	4132	2532
620	4137	2525
621	4144	2518
622	4150	2511
623	4156	2504
624	4162	2497
625	4169	2490
626	4175	2484
627	4182	2477
628	4188	2470
629	4194	2463
630	4200	2456
631	4206	2449
632	4213	2442
633	4219	2435
634	4224	2428
635	4231	2421
636	4238	2415
637	4244	2408
638	4250	2401
639	4257	2394
640	4263	2387
641	4269	2380
642	4274	2373
643	4281	2367
644	4288	2360
645	4293	2352
646	4299	2345
647	4305	2338
648	4312	2332
649	4318	2325
650	4324	2318
651	4330	2311
652	4337	2304
653	4343	2297
654	4349	2290
655	4355	2284
656	4361	2277
657	4367	2270
658	4373	2263
659	4380	2256
660	4386	2249
661	4392	2242
662	4398	2235
663	4404	2228
664	4410	2221
665	4416	2214
666	4422	2207
667	4428	2201
668	4435	2194
669	4440	2187
670	4447	2180
671	4453	2173
672	4459	2166
673	4465	2159
674	4471	2152
675	4477	2146
676	4483	2139
677	4490	2132
678	4496	2125
679	4502	2118
680	4508	2111
681	4514	2104
682	4519	2097
683	4525	2090
684	4532	2084
685	4537	2077
686	4544	2070
687	4550	2063
688	4556	2056
689	4562	2049
690	4568	2043
691	4575	2036
692	4582	2029
693	4588	2023
694	4594	2016
695	4600	2009
696	4606	2002
697	4612	1995
698	4618	1988
699	4625	1982
700	4631	1975
701	4637	1968
702	4644	1962
703	4650	1955
704	4656	1948
705	4663	1941
706	4669	1934
707	4675	1928
708	4682	1921
709	4688	1914
710	4694	1908
711	4701	1901
712	4707	1894
713	4714	1888
714	4720	1881
715	4726	1874
716	4733	1868
717	4740	1861
718	4746	1854
719	4752	1848
720	4759	1841
721	4766	1835
722	4772	1828
723	4778	1821
724	4785	1815
725	4791	1808
726	4798	1801
727	4804	1795
728	4811	1788
729	4817	1781
730	4823	1775
731	4830	1768
732	4836	1761
733	4842	1754
734	4849	1748
735	4854	1741
736	4861	1734
737	4867	1728
738	4874	1721
